NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,2880,0.00,-0.55,0.77,0.47,-0.09,0.72,-0.64,0.63,-3.57,0.63, 
2,2904,0.00,-0.62,0.73,0.48,-0.09,0.70,-0.63,1.05,-0.77,0.98, 
3,2927,0.00,-0.52,0.73,0.48,-0.09,0.70,-0.63,0.98,0.07,1.82, 
4,2952,0.00,-0.60,0.75,0.49,-0.09,0.70,-0.63,-0.77,-1.82,0.98, 
5,2975,0.00,-0.56,0.75,0.46,-0.09,0.69,-0.63,-1.89,-3.43,0.84, 
6,3000,0.00,-0.56,0.72,0.45,-0.09,0.69,-0.63,-2.31,-2.59,1.82, 
7,3023,0.00,-0.59,0.73,0.41,-0.09,0.69,-0.63,-1.54,-2.24,1.96, 
8,3051,0.00,-0.53,0.74,0.48,-0.09,0.69,-0.63,1.40,-2.03,0.91, 
9,3076,3081.00,-0.58,0.70,0.48,-0.09,0.69,-0.63,3.57,-0.49,1.26,Q
10,3100,3081.00,-0.59,0.74,0.45,-0.09,0.70,-0.63,2.45,-0.91,1.19,Q
11,3124,3081.00,-0.55,0.75,0.48,-0.09,0.70,-0.63,1.47,-3.08,0.63,Q
12,3148,3081.00,-0.58,0.81,0.47,-0.09,0.70,-0.63,2.03,-2.66,0.91,Q
13,3173,3081.00,-0.56,0.75,0.47,-0.10,0.70,-0.63,1.96,-1.89,1.12,Q
14,3196,3082.00,-0.55,0.73,0.47,-0.10,0.70,-0.63,0.84,-1.61,1.47,A
15,3221,3082.00,-0.58,0.74,0.44,-0.10,0.70,-0.63,-1.47,-2.80,0.28,Q
16,3250,3082.00,-0.57,0.75,0.50,-0.09,0.69,-0.63,-2.73,-2.80,2.24,Q
17,3273,3082.00,-0.60,0.75,0.44,-0.09,0.69,-0.63,-3.43,-3.99,1.89,Q
18,3298,3082.00,-0.57,0.74,0.45,-0.10,0.69,-0.63,-1.12,-3.01,1.40,Q
19,3322,3082.00,-0.56,0.69,0.44,-0.10,0.69,-0.63,-0.49,-0.84,2.38,Q
20,3346,3081.00,-0.58,0.75,0.47,-0.10,0.69,-0.63,1.12,0.00,1.89,D
21,3385,3081.00,-0.60,0.75,0.48,-0.09,0.69,-0.63,0.49,-1.47,1.26,Q
22,3408,3081.00,-0.60,0.72,0.48,-0.09,0.69,-0.63,-0.49,-0.42,0.49,Q
23,3437,3081.00,-0.59,0.73,0.45,-0.09,0.69,-0.63,-0.14,-1.61,0.35,Q
24,3462,3081.00,-0.55,0.80,0.47,-0.09,0.69,-0.63,0.42,-2.59,0.00,Q
25,3485,3081.00,-0.58,0.74,0.41,-0.09,0.69,-0.63,0.77,-0.42,0.84,Q
26,3510,3081.00,-0.57,0.75,0.47,-0.09,0.69,-0.62,-1.47,-3.08,0.07,Q
27,3534,3081.00,-0.57,0.73,0.47,-0.09,0.69,-0.62,-1.33,-2.80,1.05,Q
28,3558,3081.00,-0.58,0.75,0.46,-0.09,0.69,-0.62,0.77,-0.49,0.84,Q
29,3582,3081.00,-0.58,0.72,0.47,-0.09,0.70,-0.63,1.19,-0.63,0.63,Q
30,3607,3081.00,-0.57,0.73,0.41,-0.09,0.70,-0.63,0.84,-1.68,0.91,Q
31,3635,3081.00,-0.51,0.74,0.45,-0.09,0.70,-0.63,1.19,-1.61,0.35,Q
32,3659,3081.00,-0.57,0.75,0.41,-0.09,0.70,-0.63,1.19,0.70,1.12,Q
33,3684,3081.00,-0.57,0.74,0.45,-0.09,0.70,-0.63,0.56,1.12,1.19,Q
34,3707,3081.00,-0.57,0.75,0.50,-0.09,0.70,-0.62,0.35,-1.26,0.21,Q
35,3732,3081.00,-0.59,0.75,0.45,-0.09,0.70,-0.62,0.28,-1.82,0.91,Q
36,3757,3081.00,-0.59,0.75,0.55,-0.09,0.70,-0.62,1.12,-0.63,1.26,Q
37,3780,3081.00,-0.59,0.73,0.43,-0.09,0.70,-0.63,0.91,-1.26,0.91,Q
38,3809,3081.00,-0.55,0.74,0.49,-0.09,0.70,-0.63,0.56,-1.40,1.89,Q
39,3833,3081.00,-0.59,0.73,0.54,-0.09,0.70,-0.63,0.77,-2.17,1.89,Q
40,3857,3081.00,-0.59,0.74,0.48,-0.09,0.70,-0.63,1.26,-1.82,1.89,Q
41,3896,3081.00,-0.48,0.80,0.43,-0.09,0.70,-0.63,2.59,-0.70,1.47,Q
