NLectura,Millis,Altura,AcelX,AcelY,AcelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Estado
1,2672,0.00,-0.05,1.13,-0.03,-0.26,0.37,-0.87,0.91,-0.91,1.33, 
2,2697,0.00,0.00,1.11,-0.03,-0.27,0.36,-0.86,1.05,-0.98,1.05, 
3,2720,0.00,0.04,1.05,-0.02,-0.27,0.36,-0.86,1.12,-0.84,1.61, 
4,2744,0.00,-0.05,1.05,-0.05,-0.27,0.36,-0.86,0.77,-2.80,1.05, 
5,2768,0.00,-0.02,1.06,-0.04,-0.28,0.36,-0.87,1.40,-1.05,1.47, 
6,2792,0.00,-0.04,1.05,-0.05,-0.28,0.36,-0.87,1.19,-0.42,0.91, 
7,2817,0.00,0.00,1.05,-0.02,-0.28,0.36,-0.87,0.77,1.54,0.84, 
8,2844,0.00,-0.05,1.17,-0.05,-0.28,0.36,-0.87,1.33,-0.35,0.98, 
9,2868,3074.00,-0.05,1.05,0.00,-0.28,0.36,-0.87,1.47,-1.61,1.40,Q
10,2892,3074.00,-0.01,1.09,-0.04,-0.28,0.36,-0.86,0.77,-1.61,1.12,Q
11,2917,3074.00,-0.04,1.06,-0.06,-0.28,0.36,-0.86,0.70,-0.63,1.26,Q
12,2940,3074.00,-0.05,1.06,-0.10,-0.28,0.36,-0.86,1.12,0.63,1.12,Q
13,2965,3074.00,-0.02,1.09,-0.03,-0.28,0.36,-0.87,0.63,-0.63,1.33,Q
14,2990,3074.00,-0.09,1.05,-0.02,-0.28,0.36,-0.87,1.12,0.77,1.26,Q
15,3013,3074.00,0.00,1.08,0.00,-0.28,0.36,-0.87,1.19,-0.63,1.33,Q
16,3042,3074.00,0.00,1.05,-0.04,-0.28,0.36,-0.87,0.91,-2.24,1.33,Q
17,3066,3074.00,-0.02,1.05,-0.07,-0.28,0.36,-0.87,1.19,-1.89,0.77,Q
18,3090,3074.00,-0.04,1.05,-0.05,-0.28,0.36,-0.87,1.19,0.21,0.91,Q
19,3115,3074.00,-0.05,1.07,0.00,-0.28,0.36,-0.86,0.98,1.19,1.19,Q
20,3139,3074.00,-0.03,1.09,-0.06,-0.28,0.36,-0.86,0.84,-0.14,1.33,Q
21,3178,3074.00,-0.02,1.06,-0.04,-0.28,0.36,-0.87,0.91,-2.17,1.47,Q
22,3202,3074.00,-0.03,1.03,-0.08,-0.28,0.36,-0.87,1.33,-2.31,1.26,Q
23,3230,3075.00,-0.02,1.09,-0.04,-0.28,0.36,-0.87,1.54,-4.20,1.26,A
24,3255,3075.00,-0.04,1.05,0.00,-0.28,0.36,-0.87,1.05,0.63,1.47,Q
25,3278,3075.00,-0.03,1.08,0.00,-0.28,0.36,-0.87,0.91,2.80,1.26,Q
26,3303,3075.00,-0.12,1.05,0.00,-0.28,0.36,-0.86,0.98,1.54,1.19,Q
27,3326,3074.00,-0.02,1.05,0.00,-0.28,0.36,-0.86,1.33,-0.98,1.12,D
28,3351,3074.00,0.03,1.04,-0.02,-0.28,0.36,-0.86,1.12,-2.87,1.33,Q
29,3376,3074.00,0.00,1.05,0.00,-0.28,0.36,-0.86,0.91,-1.40,1.33,Q
30,3399,3074.00,-0.02,1.05,-0.08,-0.28,0.36,-0.86,1.12,-0.91,1.26,Q
31,3428,3074.00,0.00,1.02,-0.03,-0.28,0.36,-0.86,1.33,0.00,1.12,Q
32,3452,3074.00,-0.04,1.07,-0.05,-0.28,0.36,-0.86,1.33,-0.21,1.26,Q
33,3476,3074.00,-0.04,1.05,-0.02,-0.28,0.36,-0.86,1.26,0.77,1.26,Q
34,3501,3074.00,-0.04,1.08,-0.02,-0.28,0.36,-0.86,0.70,-1.75,1.33,Q
35,3525,3074.00,-0.05,1.07,-0.02,-0.28,0.36,-0.86,1.61,-1.82,1.19,Q
36,3550,3075.00,-0.05,1.07,-0.08,-0.28,0.36,-0.86,1.05,-2.38,1.05,A
37,3573,3075.00,-0.01,1.05,0.01,-0.28,0.36,-0.86,0.70,-0.14,1.19,Q
38,3602,3075.00,-0.04,1.02,-0.04,-0.28,0.36,-0.86,0.91,0.42,1.26,Q
39,3627,3075.00,-0.06,1.04,0.05,-0.28,0.36,-0.86,0.77,-0.63,0.91,Q
40,3650,3076.00,-0.01,1.12,-0.10,-0.28,0.36,-0.87,1.33,0.28,0.84,A
41,3689,3076.00,0.01,1.07,-0.07,-0.28,0.36,-0.87,1.05,-1.89,1.33,Q
42,3714,3076.00,-0.04,1.00,-0.03,-0.28,0.36,-0.87,0.98,-1.33,1.61,Q
43,3737,3075.00,-0.05,1.03,0.00,-0.28,0.36,-0.87,1.19,-0.56,1.12,D
44,3762,3075.00,-0.06,1.05,-0.04,-0.28,0.36,-0.87,1.05,-1.47,1.47,Q
45,3786,3075.00,-0.02,1.02,-0.05,-0.28,0.36,-0.86,1.47,-1.82,1.05,Q
46,3815,3075.00,-0.02,1.02,-0.03,-0.28,0.36,-0.86,1.26,-0.21,1.33,Q
47,3838,3074.00,-0.04,1.04,-0.06,-0.28,0.36,-0.86,1.12,0.91,1.19,D
48,3863,3074.00,0.00,1.06,-0.04,-0.28,0.36,-0.87,0.91,0.98,1.26,Q
49,3887,3074.00,-0.03,1.05,0.00,-0.28,0.36,-0.87,1.47,-1.47,1.40,Q
50,3911,3074.00,-0.02,1.05,-0.11,-0.28,0.36,-0.86,1.19,-1.47,1.33,Q
51,3936,3074.00,-0.04,1.00,-0.05,-0.28,0.36,-0.86,1.12,-0.49,1.33,Q
52,3960,3074.00,-0.05,1.07,-0.01,-0.28,0.36,-0.86,0.70,-0.77,1.33,Q
53,3988,3074.00,-0.05,1.06,0.00,-0.28,0.36,-0.86,0.91,0.00,1.47,Q
54,4013,3074.00,0.01,1.08,-0.02,-0.28,0.36,-0.86,0.84,0.28,0.84,Q
55,4037,3075.00,-0.02,1.12,-0.05,-0.28,0.36,-0.86,1.75,1.19,1.47,A
56,4061,3075.00,-0.05,1.07,-0.05,-0.28,0.36,-0.86,0.91,-0.77,1.26,Q
57,4085,3075.00,-0.03,1.02,0.00,-0.28,0.36,-0.86,1.26,-1.26,1.54,Q
58,4110,3075.00,-0.05,1.05,0.00,-0.28,0.36,-0.86,1.33,-0.56,1.33,Q
59,4133,3075.00,-0.09,1.09,0.00,-0.28,0.36,-0.86,0.91,-1.26,1.47,Q
60,4158,3075.00,-0.03,1.06,0.00,-0.28,0.36,-0.86,0.91,-0.84,1.19,Q
61,4200,3075.00,-0.07,1.05,0.02,-0.28,0.36,-0.87,1.19,0.14,1.26,Q
62,4225,3074.00,-0.03,1.02,-0.04,-0.28,0.36,-0.87,1.12,0.84,1.26,D
63,4248,3074.00,0.00,1.06,0.00,-0.28,0.36,-0.87,1.40,-0.91,1.19,Q
64,4273,3074.00,0.00,1.05,-0.02,-0.28,0.36,-0.86,1.47,-1.47,0.98,Q
65,4297,3074.00,-0.03,1.07,0.01,-0.28,0.36,-0.86,0.84,-0.77,1.26,Q
66,4321,3074.00,-0.04,1.07,-0.04,-0.28,0.36,-0.86,1.33,-0.07,1.19,Q
67,4345,3074.00,0.00,1.05,-0.03,-0.28,0.36,-0.86,1.33,-1.61,1.33,Q
68,4373,3075.00,-0.01,1.06,-0.03,-0.28,0.36,-0.86,1.33,0.56,1.40,A
69,4398,3075.00,0.00,1.05,-0.05,-0.28,0.36,-0.87,0.49,0.56,1.12,Q
70,4422,3075.00,0.00,1.12,0.10,-0.28,0.36,-0.87,1.19,0.42,1.54,Q
71,4446,3075.00,-0.03,1.06,-0.02,-0.28,0.36,-0.87,1.05,-0.56,1.26,Q
72,4470,3075.00,0.00,1.02,-0.09,-0.28,0.36,-0.87,0.98,-1.68,1.26,Q
73,4495,3075.00,-0.03,1.10,-0.03,-0.28,0.36,-0.87,0.63,0.21,1.26,Q
74,4518,3074.00,-0.04,1.09,-0.05,-0.28,0.36,-0.87,1.26,-1.05,1.12,D
75,4543,3074.00,0.00,1.07,-0.05,-0.28,0.36,-0.87,0.56,-0.84,1.12,Q
76,4572,3074.00,-0.06,1.09,-0.07,-0.28,0.36,-0.87,1.40,-1.40,1.12,Q
77,4595,3075.00,-0.05,0.99,-0.09,-0.28,0.36,-0.86,1.54,0.28,1.33,A
78,4620,3074.00,-0.03,1.06,-0.03,-0.28,0.36,-0.86,0.84,-0.14,1.61,D
79,4644,3075.00,-0.05,1.03,-0.02,-0.28,0.36,-0.86,1.19,0.35,1.12,A
80,4668,3074.00,-0.03,1.08,-0.04,-0.28,0.36,-0.87,1.12,-0.21,0.84,D
81,4707,3074.00,-0.04,1.05,-0.01,-0.28,0.36,-0.87,1.12,-0.70,1.19,Q
82,4731,3074.00,-0.03,1.04,-0.11,-0.28,0.36,-0.87,1.19,-1.82,1.26,Q
83,4760,3074.00,-0.02,1.12,-0.01,-0.28,0.36,-0.87,1.05,2.03,1.26,Q
84,4784,3074.00,-0.03,1.05,-0.01,-0.28,0.36,-0.87,1.40,0.07,1.05,Q
85,4808,3074.00,-0.05,1.06,0.07,-0.28,0.36,-0.86,0.98,-0.49,1.40,Q
86,4833,3074.00,-0.05,1.02,-0.02,-0.28,0.36,-0.86,1.26,-2.03,1.19,Q
87,4856,3074.00,-0.10,1.06,0.00,-0.28,0.36,-0.86,1.40,-2.45,1.47,Q
88,4881,3074.00,-0.02,1.16,-0.05,-0.28,0.36,-0.86,0.77,-0.14,1.40,Q
89,4905,3074.00,-0.05,1.03,-0.04,-0.28,0.36,-0.86,0.84,-0.70,1.05,Q
90,4929,3074.00,-0.03,1.03,-0.02,-0.28,0.36,-0.87,0.49,0.21,0.77,Q
91,4958,3074.00,-0.04,1.07,-0.12,-0.28,0.36,-0.87,1.26,-0.28,1.19,Q
92,4982,3074.00,0.00,1.04,-0.05,-0.28,0.36,-0.87,1.68,0.28,1.05,Q
93,5006,3074.00,-0.12,1.11,-0.02,-0.28,0.36,-0.87,1.33,-1.96,1.19,Q
